Model,Subset,N,Dice_mean,Dice_std,IoU_mean,Precision_mean,Recall_mean,HD95_mean
U-Net MT Scratch,Overall,117,0.778789,0.308087,0.71438,0.843394,0.755667,23.550375
U-Net MT Scratch,Lesion,97,0.753798,0.303727,0.676108,0.831723,0.725908,23.550375
U-Net MT Scratch,Normal,20,0.9,0.307794,0.9,0.9,0.9,
U-Net MT Scratch,Benign,66,0.774278,0.304127,0.704492,0.836844,0.761879,20.987032
U-Net MT Scratch,Malignant,31,0.710193,0.30317,0.615677,0.820821,0.649322,28.942235
Attention U-Net MT Scratch,Overall,117,0.743798,0.341757,0.682405,0.772766,0.74811,29.89117
Attention U-Net MT Scratch,Lesion,97,0.73221,0.327114,0.658158,0.767151,0.737411,29.89117
Attention U-Net MT Scratch,Normal,20,0.8,0.410391,0.8,0.8,0.8,
Attention U-Net MT Scratch,Benign,66,0.748968,0.327527,0.681196,0.792633,0.752828,26.63604
Attention U-Net MT Scratch,Malignant,31,0.696532,0.328714,0.609109,0.712899,0.704588,36.850414
U-Net MT Pretrained,Overall,117,0.808928,0.272703,0.742136,0.861441,0.795368,22.671062
U-Net MT Pretrained,Lesion,97,0.779841,0.273794,0.699277,0.843182,0.763485,22.671062
U-Net MT Pretrained,Normal,20,0.95,0.223607,0.95,0.95,0.95,
U-Net MT Pretrained,Benign,66,0.801857,0.276787,0.731878,0.867148,0.77745,18.852333
U-Net MT Pretrained,Malignant,31,0.73297,0.265621,0.629869,0.792157,0.733756,31.098602
Attention U-Net MT Pretrained,Overall,117,0.755963,0.320871,0.687016,0.751969,0.792012,23.901266
Attention U-Net MT Pretrained,Lesion,97,0.78812,0.261334,0.704958,0.783303,0.831602,23.901266
Attention U-Net MT Pretrained,Normal,20,0.6,0.502625,0.6,0.6,0.6,
Attention U-Net MT Pretrained,Benign,66,0.804537,0.253742,0.725854,0.789823,0.862015,22.9
Attention U-Net MT Pretrained,Malignant,31,0.753167,0.277829,0.660469,0.76942,0.766854,26.145482
